test,px,py,hole_area_px,deflection_in,load_kip
B3-T1,843.16,1207.84,50,0.9009,-0.001
B3-T1,259.68,1206.94,62,0.1137,0.039
B3-T1,809.21,1205.79,58,0.8551,0.09
B3-T1,210.85,1089.5,52,0.0478,5.284
B3-T1,238.85,985.5,52,0.0856,9.929
B3-T1,276.85,873.5,52,0.1369,14.931
B3-T1,309.83,760.5,48,0.1814,19.978
B3-T1,397.3,759.07,54,0.2994,20.041
B3-T1,1001.16,757.84,50,1.1141,20.096
B3-T1,409.96,756.9,48,0.3164,20.139
B3-T1,954.42,754.26,38,1.051,20.256
B3-T1,968.59,753.69,59,1.0701,20.282
B3-T1,345.0,651.69,49,0.2288,24.837
B3-T1,376.2,534.84,55,0.2709,30.056
B3-T1,411.64,417.21,53,0.3187,35.31
B3-T1,521.3,307.93,54,0.4667,40.191
B3-T1,534.39,307.5,46,0.4843,40.21
B3-T1,788.16,207.5,62,0.8267,44.676
B3-T1,1120.53,172.76,51,1.2751,46.227
B3-T1,1103.12,171.59,51,1.2516,46.28
B3-T1,1157.41,150.96,54,1.3249,47.201
B3-T2,763.5,1224.73,22,0.8727,0.126
B3-T2,308.5,1224.21,28,0.163,0.153
B3-T2,285.5,936.8,30,0.1271,15.029
B3-T2,369.17,647.83,12,0.2576,29.986
B3-T2,470.5,646.5,36,0.4157,30.055
B3-T2,551.93,642.5,28,0.5427,30.262
B3-T2,425.5,448.5,32,0.3455,40.304
B3-T2,586.1,243.3,20,0.596,50.925
B3-T2,602.17,240.83,24,0.621,51.052
B3-T2,766.1,217.3,20,0.8768,52.27
B3-T2,960.83,192.17,24,1.1805,53.571
B3-T2,1093.57,172.39,23,1.3876,54.595
B3-T3,331.0,704.5,2,0.2425,29.849
B3-T3,475.71,195.5,14,0.4559,55.079
B3-T3,667.64,138.5,22,0.7388,57.905
B3-T3,861.0,114.5,18,1.0238,59.094
