connector_test,type,slip_in,force_kips
DBLNB-05ST,DBLNB,0.00059,2.5
DBLNB-05ST,DBLNB,0.00131,3.0
DBLNB-05ST,DBLNB,0.00145,3.5
DBLNB-05ST,DBLNB,0.00171,5.0
DBLNB-05ST,DBLNB,0.00289,6.0
DBLNB-05ST,DBLNB,0.00427,8.0
DBLNB-05ST,DBLNB,0.00453,9.0
DBLNB-05ST,DBLNB,0.00565,10.0
DBLNB-05ST,DBLNB,0.00651,11.0
DBLNB-05ST,DBLNB,0.00808,12.0
DBLNB-05ST,DBLNB,0.00979,13.0
DBLNB-05ST,DBLNB,0.01603,14.0
DBLNB-05ST,DBLNB,0.02569,15.0
DBLNB-05ST,DBLNB,0.0391,16.0
DBLNB-05ST,DBLNB,0.05336,17.0
DBLNB-05ST,DBLNB,0.06808,18.0
DBLNB-05ST,DBLNB,0.07833,19.0
DBLNB-05ST,DBLNB,0.0849,20.0
DBLNB-05ST,DBLNB,0.08977,21.0
DBLNB-05ST,DBLNB,0.09437,22.0
DBLNB-05ST,DBLNB,0.09884,23.0
DBLNB-05ST,DBLNB,0.10409,24.0
DBLNB-05ST,DBLNB,0.10948,25.0
DBLNB-05ST,DBLNB,0.11467,26.0
DBLNB-05ST,DBLNB,0.12,27.0
DBLNB-05ST,DBLNB,0.12598,28.0
DBLNB-05ST,DBLNB,0.13156,29.0
DBLNB-05ST,DBLNB,0.13761,30.0
DBLNB-05ST,DBLNB,0.14503,31.0
DBLNB-05ST,DBLNB,0.15344,32.0
DBLNB-05ST,DBLNB,0.16205,33.0
DBLNB-05ST,DBLNB,0.17263,34.0
DBLNB-05ST,DBLNB,0.18479,35.0
DBLNB-05ST,DBLNB,0.19872,36.0
DBLNB-05ST,DBLNB,0.21449,37.0
DBLNB-05ST,DBLNB,0.23138,38.0
DBLNB-05ST,DBLNB,0.25701,39.0
DBLNB-05ST,DBLNB,0.28455,40.0
DBLNB-05ST,DBLNB,0.31123,41.0
DBLNB-05ST,DBLNB,0.34257,42.0
DBLNB-05ST,DBLNB,0.42833,43.77
DBLNB-05ST,DBLNB,0.45,41.58
DBLNB-06ST,DBLNB,0.00053,2.0
DBLNB-06ST,DBLNB,0.00138,2.5
DBLNB-06ST,DBLNB,0.00204,5.0
DBLNB-06ST,DBLNB,0.00283,6.0
DBLNB-06ST,DBLNB,0.00296,7.0
DBLNB-06ST,DBLNB,0.00427,8.0
DBLNB-06ST,DBLNB,0.005,9.0
DBLNB-06ST,DBLNB,0.00605,10.0
DBLNB-06ST,DBLNB,0.00703,11.0
DBLNB-06ST,DBLNB,0.00855,12.0
DBLNB-06ST,DBLNB,0.01058,13.0
DBLNB-06ST,DBLNB,0.01288,14.0
DBLNB-06ST,DBLNB,0.0161,15.0
DBLNB-06ST,DBLNB,0.02018,16.0
DBLNB-06ST,DBLNB,0.02603,17.0
DBLNB-06ST,DBLNB,0.03404,18.0
DBLNB-06ST,DBLNB,0.04357,19.0
DBLNB-06ST,DBLNB,0.0552,20.0
DBLNB-06ST,DBLNB,0.12309,21.0
DBLNB-06ST,DBLNB,0.12775,22.0
DBLNB-06ST,DBLNB,0.13275,23.0
DBLNB-06ST,DBLNB,0.13728,24.0
DBLNB-06ST,DBLNB,0.14208,25.0
DBLNB-06ST,DBLNB,0.14799,26.0
DBLNB-06ST,DBLNB,0.15279,27.0
DBLNB-06ST,DBLNB,0.15877,28.0
DBLNB-06ST,DBLNB,0.16514,29.0
DBLNB-06ST,DBLNB,0.17198,30.0
DBLNB-06ST,DBLNB,0.17934,31.0
DBLNB-06ST,DBLNB,0.18775,32.0
DBLNB-06ST,DBLNB,0.19708,33.0
DBLNB-06ST,DBLNB,0.20878,34.0
DBLNB-06ST,DBLNB,0.22449,35.0
DBLNB-06ST,DBLNB,0.24282,36.0
DBLNB-06ST,DBLNB,0.26595,37.0
DBLNB-06ST,DBLNB,0.2927,38.0
