figure,specimen,load_kips,slip_in,slip_rel_start_in,secant_stiffness_kip_per_in
Fig. 3.15,DBLNB-05ST,1,-0.0008,0.0,
Fig. 3.15,DBLNB-05ST,2,-0.0008,0.0,
Fig. 3.15,DBLNB-05ST,2.5,-0.00021,0.00059,4237.0
Fig. 3.15,DBLNB-05ST,5,0.00091,0.00171,2924.0
Fig. 3.15,DBLNB-05ST,7.5,0.00281,0.00361,2078.0
Fig. 3.15,DBLNB-05ST,10,0.00485,0.00565,1770.0
Fig. 3.15,DBLNB-05ST,12.5,0.0084,0.0092,1359.0
Fig. 3.15,DBLNB-05ST,15,0.02489,0.02569,584.0
Fig. 3.15,DBLNB-05ST,17.5,0.05992,0.06072,288.0
Fig. 3.15,DBLNB-05ST,20,0.0841,0.0849,236.0
Fig. 3.15,DBLNB-05ST,25,0.10868,0.10948,228.0
Fig. 3.15,DBLNB-05ST,30,0.13681,0.13761,218.0
Fig. 3.15,DBLNB-06ST,1,-8e-05,0.0,
Fig. 3.15,DBLNB-06ST,2,0.00045,0.00053,3774.0
Fig. 3.15,DBLNB-06ST,2.5,0.0013,0.00138,1812.0
Fig. 3.15,DBLNB-06ST,5,0.00196,0.00204,2451.0
Fig. 3.15,DBLNB-06ST,7.5,0.00419,0.00427,1756.0
Fig. 3.15,DBLNB-06ST,10,0.00597,0.00605,1653.0
Fig. 3.15,DBLNB-06ST,12.5,0.00965,0.00973,1285.0
Fig. 3.15,DBLNB-06ST,15,0.01602,0.0161,932.0
Fig. 3.15,DBLNB-06ST,17.5,0.02956,0.02964,590.0
Fig. 3.15,DBLNB-06ST,20,0.05512,0.0552,362.0
Fig. 3.15,DBLNB-06ST,25,0.142,0.14208,176.0
Fig. 3.15,DBLNB-06ST,30,0.1719,0.17198,174.0
Fig. 3.15,DBLNB-07ST,1,-8e-05,0.0,
Fig. 3.15,DBLNB-07ST,2,-8e-05,0.0,
Fig. 3.15,DBLNB-07ST,2.5,-8e-05,0.0,
Fig. 3.15,DBLNB-07ST,5,0.0013,0.00138,3623.0
Fig. 3.15,DBLNB-07ST,7.5,0.00275,0.00283,2650.0
Fig. 3.15,DBLNB-07ST,12.5,0.00919,0.00927,1348.0
Fig. 3.15,DBLNB-07ST,15,0.01583,0.01591,943.0
Fig. 3.15,DBLNB-07ST,17.5,0.0247,0.02478,706.0
Fig. 3.15,DBLNB-07ST,20,0.03245,0.03253,615.0
Fig. 3.15,DBLNB-07ST,25,0.04665,0.04673,535.0
Fig. 3.15,DBLNB-07ST,30,0.0686,0.06868,437.0
Fig. 3.16,HTFGB-05ST,1,-0.0006,0.0,
Fig. 3.16,HTFGB-05ST,2,-0.0006,0.0,
Fig. 3.16,HTFGB-05ST,2.5,-0.0006,0.0,
Fig. 3.16,HTFGB-05ST,5,-0.0006,0.0,
Fig. 3.16,HTFGB-05ST,7.5,-0.00038,0.00022,34091.0
Fig. 3.16,HTFGB-05ST,10,-0.00016,0.00044,22727.0
Fig. 3.16,HTFGB-05ST,12.5,0.01168,0.01228,1018.0
Fig. 3.16,HTFGB-05ST,15,0.06934,0.06994,214.0
Fig. 3.16,HTFGB-05ST,17.5,0.14475,0.14535,120.0
Fig. 3.16,HTFGB-05ST,20,0.17544,0.17604,114.0
Fig. 3.16,HTFGB-05ST,25,0.20788,0.20848,120.0
Fig. 3.16,HTFGB-05ST,30,0.2423,0.2429,124.0
Fig. 3.16,HTFGB-06ST,1,-0.00081,0.0,
Fig. 3.16,HTFGB-06ST,2,-0.00081,0.0,
Fig. 3.16,HTFGB-06ST,2.5,-0.0006,0.00021,11905.0
Fig. 3.16,HTFGB-06ST,5,-0.00038,0.00043,11628.0
Fig. 3.16,HTFGB-06ST,7.5,-0.00038,0.00043,17442.0
Fig. 3.16,HTFGB-06ST,10,0.00028,0.00109,9174.0
Fig. 3.16,HTFGB-06ST,12.5,0.03558,0.03639,344.0
Fig. 3.16,HTFGB-06ST,15,0.08052,0.08133,184.0
Fig. 3.16,HTFGB-06ST,17.5,0.11296,0.11377,154.0
Fig. 3.16,HTFGB-06ST,20,0.14826,0.14907,134.0
Fig. 3.16,HTFGB-06ST,25,0.18771,0.18852,133.0
Fig. 3.16,HTFGB-06ST,30,0.23331,0.23412,128.0
Fig. 3.17,HASAA-05ST,1,-0.00072,0.0,
Fig. 3.17,HASAA-05ST,2,-0.00072,0.0,
Fig. 3.17,HASAA-05ST,2.5,-0.00072,0.0,
Fig. 3.17,HASAA-05ST,5,0.0,0.00072,6944.0
Fig. 3.17,HASAA-05ST,7.5,0.00177,0.00249,3012.0
Fig. 3.17,HASAA-05ST,10,0.00944,0.01016,984.0
Fig. 3.17,HASAA-05ST,12.5,0.01586,0.01658,754.0
Fig. 3.17,HASAA-05ST,15,0.02281,0.02353,637.0
Fig. 3.17,HASAA-05ST,17.5,0.03146,0.03218,544.0
Fig. 3.17,HASAA-05ST,20,0.04012,0.04084,490.0
Fig. 3.17,HASAA-05ST,25,0.06083,0.06155,406.0
Fig. 3.17,HASAA-05ST,30,0.09354,0.09426,318.0
Fig. 3.17,HASAA-06ST,1,-6e-05,0.0,
Fig. 3.17,HASAA-06ST,2,-6e-05,0.0,
Fig. 3.17,HASAA-06ST,2.5,-6e-05,0.0,
Fig. 3.17,HASAA-06ST,5,0.00335,0.00341,1466.0
Fig. 3.17,HASAA-06ST,7.5,0.00826,0.00832,901.0
Fig. 3.17,HASAA-06ST,10,0.01357,0.01363,734.0
Fig. 3.17,HASAA-06ST,12.5,0.01967,0.01973,634.0
Fig. 3.17,HASAA-06ST,15,0.02602,0.02608,575.0
Fig. 3.17,HASAA-06ST,17.5,0.03284,0.0329,532.0
Fig. 3.17,HASAA-06ST,20,0.04117,0.04123,485.0
Fig. 3.17,HASAA-06ST,25,0.06535,0.06541,382.0
Fig. 3.17,HASAA-06ST,30,0.11418,0.11424,263.0
Fig. 3.17,HASAA-07ST,1,0.0,0.0,
Fig. 3.17,HASAA-07ST,2,0.0,0.0,
Fig. 3.17,HASAA-07ST,2.5,0.0,0.0,
Fig. 3.17,HASAA-07ST,5,0.00328,0.00328,1524.0
Fig. 3.17,HASAA-07ST,7.5,0.00879,0.00879,853.0
Fig. 3.17,HASAA-07ST,10,0.01554,0.01554,644.0
Fig. 3.17,HASAA-07ST,12.5,0.01999,0.01999,625.0
Fig. 3.17,HASAA-07ST,15,0.02897,0.02897,518.0
Fig. 3.17,HASAA-07ST,17.5,0.03835,0.03835,456.0
Fig. 3.17,HASAA-07ST,20,0.04949,0.04949,404.0
Fig. 3.17,HASAA-07ST,25,0.07728,0.07728,323.0
Fig. 3.17,HASAA-07ST,30,0.13024,0.13024,230.0
