figure,specimen,row_px1200,x_pt,y_pt,run_width_px,slip_in,load_kips
Fig. 3.15,DBLNB-05ST,536,380.99,442.19,175,0.42747,44.518
Fig. 3.15,DBLNB-05ST,537,381.02,442.25,184,0.42753,44.5
Fig. 3.15,DBLNB-05ST,538,381.02,442.31,192,0.42753,44.483
Fig. 3.15,DBLNB-05ST,539,381.02,442.37,196,0.42753,44.465
Fig. 3.15,DBLNB-05ST,540,381.02,442.43,200,0.42753,44.447
Fig. 3.15,DBLNB-05ST,541,381.02,442.49,204,0.42753,44.43
Fig. 3.15,DBLNB-05ST,542,381.02,442.55,208,0.42753,44.412
Fig. 3.15,DBLNB-05ST,543,381.05,442.61,211,0.4276,44.394
Fig. 3.15,DBLNB-05ST,544,381.02,442.67,214,0.42753,44.376
Fig. 3.15,DBLNB-05ST,545,381.02,442.73,216,0.42753,44.359
Fig. 3.15,DBLNB-05ST,546,379.07,442.79,283,0.42326,44.341
Fig. 3.15,DBLNB-05ST,547,379.01,442.85,289,0.42313,44.323
Fig. 3.15,DBLNB-05ST,548,378.92,442.91,294,0.42293,44.305
Fig. 3.15,DBLNB-05ST,549,378.86,442.97,296,0.4228,44.288
Fig. 3.15,DBLNB-05ST,550,378.83,443.03,299,0.42273,44.27
Fig. 3.15,DBLNB-05ST,551,378.8,443.09,302,0.42267,44.252
Fig. 3.15,DBLNB-05ST,552,378.77,443.15,305,0.4226,44.235
Fig. 3.15,DBLNB-05ST,553,378.77,443.21,307,0.4226,44.217
Fig. 3.15,DBLNB-05ST,554,378.74,443.27,310,0.42254,44.199
Fig. 3.15,DBLNB-05ST,555,378.74,443.33,312,0.42254,44.181
Fig. 3.15,DBLNB-05ST,556,378.74,443.39,314,0.42254,44.164
Fig. 3.15,DBLNB-05ST,557,377.45,443.45,359,0.41971,44.146
Fig. 3.15,DBLNB-05ST,558,377.36,443.51,364,0.41951,44.128
Fig. 3.15,DBLNB-05ST,559,377.27,443.57,369,0.41932,44.111
Fig. 3.15,DBLNB-05ST,560,377.24,443.63,372,0.41925,44.093
Fig. 3.15,DBLNB-05ST,561,377.21,443.69,375,0.41919,44.075
Fig. 3.15,DBLNB-05ST,562,377.18,443.75,378,0.41912,44.057
Fig. 3.15,DBLNB-05ST,563,377.15,443.81,381,0.41905,44.04
Fig. 3.15,DBLNB-05ST,564,377.15,443.87,383,0.41905,44.022
Fig. 3.15,DBLNB-05ST,565,377.12,443.93,386,0.41899,44.004
Fig. 3.15,DBLNB-05ST,566,377.12,443.99,388,0.41899,43.987
Fig. 3.15,DBLNB-05ST,567,377.12,444.05,390,0.41899,43.969
Fig. 3.15,DBLNB-05ST,568,376.16,444.11,424,0.41689,43.951
Fig. 3.15,DBLNB-05ST,569,376.07,444.17,429,0.41669,43.933
