specimen,figure,reading,load_kips,deflection_in,plotted_load_kips,plotted_deflection_in,elastic,steel_elastic,interface_state,xcheck_report_fig5-14,xcheck_report_fig5-20,xcheck_thesis_fig4-24,xcheck_thesis_fig4-63
NON-00BS,Fig. 4.16,0,0.0,0.0,-1.111,-0.017,1,1,bond_intact,,,,
NON-00BS,Fig. 4.16,1,5.043,0.0517,3.932,0.0347,1,1,bond_intact,0.0473,0.0483,0.0522,
NON-00BS,Fig. 4.16,2,9.921,0.1179,8.81,0.1009,1,1,bond_intact,0.1249,0.1181,0.12,
NON-00BS,Fig. 4.16,3,12.496,0.1524,11.385,0.1354,1,1,bond_intact,0.1442,0.1476,0.1544,
NON-00BS,Fig. 4.16,4,15.072,0.1802,13.961,0.1632,1,1,bond_intact,0.1747,0.1692,0.1844,
NON-00BS,Fig. 4.16,5,17.429,0.2174,16.318,0.2004,1,1,bond_intact,0.2252,0.2212,0.2217,
NON-00BS,Fig. 4.16,6,20.06,0.2571,18.949,0.2401,1,1,bond_intact,0.2657,0.2623,0.2601,
NON-00BS,Fig. 4.16,7,22.471,0.2942,21.36,0.2772,1,1,bond_intact,0.2966,0.2915,0.2966,
NON-00BS,Fig. 4.16,8,25.047,0.3314,23.936,0.3144,1,1,bond_intact,0.3452,0.3442,0.3342,
NON-00BS,Fig. 4.16,9,27.513,0.3711,26.402,0.3541,1,1,bond_intact,0.363,0.3648,0.3742,
NON-00BS,Fig. 4.16,10,30.035,0.4069,28.924,0.3899,1,1,bond_intact,0.4163,0.417,0.4127,
NON-00BS,Fig. 4.16,11,32.556,0.4467,31.445,0.4297,1,1,bond_intact,0.4477,0.4359,0.4528,
NON-00BS,Fig. 4.16,12,35.022,0.4878,33.911,0.4708,1,1,bond_intact,0.4856,0.4903,0.4923,
NON-00BS,Fig. 4.16,13,37.598,0.5289,36.487,0.5119,1,1,bond_intact,0.5408,0.5317,0.5368,
NON-00BS,Fig. 4.16,14,40.064,0.5713,38.953,0.5543,1,1,bond_intact,0.5777,0.5846,0.5776,
NON-00BS,Fig. 4.16,15,42.585,0.6137,41.474,0.5967,1,1,bond_broken,0.6083,0.6051,0.6187,
NON-00BS,Fig. 4.16,16,45.161,0.6535,44.05,0.6365,1,1,bond_broken,0.664,0.6601,0.6613,
NON-00BS,Fig. 4.16,17,47.628,0.6959,46.517,0.6789,1,1,bond_broken,0.7014,0.6997,0.7026,
