figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
report_fig5-14,DBLNB-30BS_center,1,markers,29,175.5,364.5,1462.5,3037.5,6.72,6.72,0.0155,-0.51
report_fig5-14,DBLNB-30BS_center,2,markers,34,175.5,364.5,1462.5,3037.5,6.72,6.72,0.0155,-0.51
report_fig5-14,DBLNB-30BS_center,3,markers,39,176.25,360.75,1468.8,3006.3,6.78,6.78,0.0397,4.804
report_fig5-14,DBLNB-30BS_center,4,markers,44,177.75,356.25,1481.2,2968.8,6.78,6.78,0.0881,11.182
report_fig5-14,DBLNB-30BS_center,5,markers,49,179.25,354.0,1493.8,2950.0,6.78,6.72,0.1365,14.371
report_fig5-14,DBLNB-30BS_center,6,markers,54,178.53,354.0,1487.7,2950.0,6.78,6.72,0.1132,14.371
report_fig5-14,DBLNB-30BS_center,7,markers,59,180.03,351.0,1500.2,2925.0,6.78,6.72,0.1616,18.622
report_fig5-14,DBLNB-30BS_center,8,markers,64,180.75,347.25,1506.2,2893.8,6.78,6.78,0.1848,23.937
report_fig5-14,DBLNB-30BS_center,9,markers,69,182.25,342.75,1518.8,2856.3,6.78,6.78,0.2332,30.315
report_fig5-14,DBLNB-30BS_center,10,markers,74,183.03,339.75,1525.2,2831.3,6.78,6.78,0.2584,34.566
report_fig5-14,DBLNB-30BS_center,11,markers,79,183.78,336.0,1531.5,2800.0,6.72,6.72,0.2826,39.881
report_fig5-14,DBLNB-30BS_center,12,markers,84,185.28,332.97,1544.0,2774.7,6.72,6.78,0.331,44.175
report_fig5-14,DBLNB-30BS_center,13,markers,89,186.78,329.25,1556.5,2743.8,6.72,6.78,0.3793,49.447
report_fig5-14,DBLNB-30BS_center,14,markers,94,186.78,332.25,1556.5,2768.8,6.72,6.78,0.3793,45.196
report_fig5-14,DBLNB-30BS_center,15,markers,99,188.31,322.47,1569.2,2687.2,6.78,6.78,0.4287,59.056
report_fig5-14,DBLNB-30BS_center,16,markers,104,189.81,318.72,1581.7,2656.0,6.78,6.72,0.4771,64.371
report_fig5-14,DBLNB-30BS_center,17,markers,109,189.81,318.72,1581.7,2656.0,6.78,6.72,0.4771,64.371
report_fig5-14,DBLNB-30BS_center,18,markers,114,191.31,314.97,1594.2,2624.7,6.78,6.78,0.5255,69.685
report_fig5-14,DBLNB-30BS_center,19,markers,119,192.81,311.97,1606.7,2599.7,6.78,6.78,0.5738,73.937
report_fig5-14,DBLNB-30BS_center,20,markers,124,194.31,308.97,1619.2,2574.7,6.78,6.78,0.6222,78.189
report_fig5-14,DBLNB-30BS_center,21,markers,129,198.06,301.47,1650.5,2512.2,6.72,6.78,0.7432,88.818
report_fig5-14,DBLNB-30BS_center,22,markers,134,198.06,301.47,1650.5,2512.2,6.72,6.78,0.7432,88.818
report_fig5-14,DBLNB-30BS_center,23,markers,139,198.81,297.72,1656.7,2481.0,6.78,6.72,0.7674,94.133
report_fig5-14,DBLNB-30BS_center,24,markers,144,201.09,293.97,1675.7,2449.7,6.78,6.78,0.8409,99.447
report_fig5-14,DBLNB-30BS_center,25,markers,149,202.59,290.19,1688.2,2418.2,6.78,6.78,0.8893,104.804
report_fig5-14,DBLNB-30BS_center,26,markers,154,204.09,287.19,1700.7,2393.2,6.78,6.78,0.9377,109.056
report_fig5-14,DBLNB-30BS_center,27,markers,159,204.09,287.19,1700.7,2393.2,6.78,6.78,0.9377,109.056
report_fig5-14,DBLNB-30BS_center,28,markers,164,206.34,283.44,1719.5,2362.0,6.72,6.72,1.0103,114.371
report_fig5-14,DBLNB-30BS_center,29,markers,169,207.84,280.44,1732.0,2337.0,6.72,6.72,1.0587,118.622
report_fig5-14,DBLNB-30BS_center,30,markers,174,210.09,276.69,1750.7,2305.7,6.78,6.78,1.1312,123.937
report_fig5-14,DBLNB-30BS_center,31,markers,179,211.59,273.69,1763.2,2280.8,6.78,6.78,1.1796,128.189
report_fig5-14,DBLNB-30BS_center,32,markers,184,213.87,269.94,1782.2,2249.5,6.78,6.72,1.2532,133.503
report_fig5-14,DBLNB-30BS_center,33,markers,189,215.37,266.19,1794.7,2218.3,6.78,6.78,1.3015,138.818
report_fig5-14,DBLNB-30BS_center,34,markers,194,217.59,263.19,1813.2,2193.3,6.78,6.78,1.3732,143.07
report_fig5-14,DBLNB-30BS_center,35,markers,199,219.12,259.44,1826.0,2162.0,6.72,6.72,1.4225,148.384
report_fig5-14,DBLNB-30BS_center,36,markers,204,221.37,256.44,1844.7,2137.0,6.78,6.72,1.4951,152.636
report_fig5-14,DBLNB-30BS_center,37,markers,209,223.65,252.69,1863.7,2105.8,6.78,6.78,1.5686,157.951
report_fig5-14,DBLNB-30BS_center,38,markers,214,225.87,248.91,1882.2,2074.2,6.78,6.78,1.6402,163.308
report_fig5-14,DBLNB-30BS_center,39,markers,219,228.15,245.91,1901.2,2049.2,6.78,6.78,1.7138,167.56
report_fig5-14,DBLNB-30BS_center,40,markers,224,230.4,242.16,1920.0,2018.0,6.72,6.72,1.7863,172.874
