figure_key,series,seq,source,draw_index,x_pt,y_pt,x_px600,y_px600,marker_w_pt,marker_h_pt,deflection_in,load_kips
thesis_fig4-22,HTFGB-30BS_center,1,markers,9,190.8,268.08,1590.0,2234.0,7.92,7.92,-0.0077,0.068
thesis_fig4-22,HTFGB-30BS_center,2,markers,11,191.49,265.44,1595.7,2212.0,7.86,7.92,0.0227,5.152
thesis_fig4-22,HTFGB-30BS_center,3,markers,13,191.49,265.44,1595.7,2212.0,7.86,7.92,0.0227,5.152
thesis_fig4-22,HTFGB-30BS_center,4,markers,15,192.24,262.92,1602.0,2191.0,7.92,7.92,0.0557,10.006
thesis_fig4-22,HTFGB-30BS_center,5,markers,17,192.96,260.28,1608.0,2169.0,7.92,7.92,0.0875,15.091
thesis_fig4-22,HTFGB-30BS_center,6,markers,19,193.74,257.7,1614.5,2147.5,7.92,7.92,0.1218,20.061
thesis_fig4-22,HTFGB-30BS_center,7,markers,21,194.52,255.06,1621.0,2125.5,7.92,7.92,0.1562,25.146
thesis_fig4-22,HTFGB-30BS_center,8,markers,23,194.52,255.12,1621.0,2126.0,7.92,7.92,0.1562,25.03
thesis_fig4-22,HTFGB-30BS_center,9,markers,25,195.42,252.42,1628.5,2103.5,7.92,7.92,0.1959,30.231
thesis_fig4-22,HTFGB-30BS_center,10,markers,27,196.08,249.84,1634.0,2082.0,7.92,7.92,0.2249,35.2
thesis_fig4-22,HTFGB-30BS_center,11,markers,29,196.74,247.26,1639.5,2060.5,7.92,7.92,0.254,40.169
thesis_fig4-22,HTFGB-30BS_center,12,markers,31,197.46,244.68,1645.5,2039.0,7.92,7.92,0.2858,45.139
thesis_fig4-22,HTFGB-30BS_center,13,markers,33,198.18,242.1,1651.5,2017.5,7.92,7.92,0.3175,50.108
thesis_fig4-22,HTFGB-30BS_center,14,markers,35,199.02,239.52,1658.5,1996.0,7.92,7.92,0.3545,55.078
thesis_fig4-22,HTFGB-30BS_center,15,markers,37,199.02,239.64,1658.5,1997.0,7.92,7.92,0.3545,54.847
thesis_fig4-22,HTFGB-30BS_center,16,markers,39,200.04,242.76,1667.0,2023.0,7.92,7.92,0.3995,48.837
thesis_fig4-22,HTFGB-30BS_center,17,markers,41,200.04,242.76,1667.0,2023.0,7.92,7.92,0.3995,48.837
thesis_fig4-22,HTFGB-30BS_center,18,markers,43,200.04,242.76,1667.0,2023.0,7.92,7.92,0.3995,48.837
thesis_fig4-22,HTFGB-30BS_center,19,markers,45,200.22,241.98,1668.5,2016.5,7.92,7.92,0.4074,50.339
thesis_fig4-22,HTFGB-30BS_center,20,markers,47,200.88,239.4,1674.0,1995.0,7.92,7.92,0.4365,55.309
thesis_fig4-22,HTFGB-30BS_center,21,markers,49,201.6,236.82,1680.0,1973.5,7.92,7.92,0.4682,60.278
thesis_fig4-22,HTFGB-30BS_center,22,markers,51,201.6,236.94,1680.0,1974.5,7.92,7.92,0.4682,60.047
thesis_fig4-22,HTFGB-30BS_center,23,markers,53,202.29,234.18,1685.8,1951.5,7.86,7.92,0.4986,65.363
thesis_fig4-22,HTFGB-30BS_center,24,markers,55,202.26,234.24,1685.5,1952.0,7.92,7.92,0.4973,65.248
thesis_fig4-22,HTFGB-30BS_center,25,markers,57,203.04,231.72,1692.0,1931.0,7.92,7.92,0.5317,70.101
thesis_fig4-22,HTFGB-30BS_center,26,markers,59,203.79,233.46,1698.3,1945.5,7.86,7.92,0.5647,66.75
thesis_fig4-22,HTFGB-30BS_center,27,markers,61,203.82,233.46,1698.5,1945.5,7.92,7.92,0.566,66.75
thesis_fig4-22,HTFGB-30BS_center,28,markers,63,204.33,231.6,1702.8,1930.0,7.86,7.92,0.5885,70.333
thesis_fig4-22,HTFGB-30BS_center,29,markers,65,204.33,231.66,1702.8,1930.5,7.86,7.92,0.5885,70.217
thesis_fig4-22,HTFGB-30BS_center,30,markers,67,204.99,229.08,1708.2,1909.0,7.86,7.92,0.6176,75.186
thesis_fig4-22,HTFGB-30BS_center,31,markers,69,205.8,226.44,1715.0,1887.0,7.92,7.92,0.6533,80.271
thesis_fig4-22,HTFGB-30BS_center,32,markers,71,205.8,226.5,1715.0,1887.5,7.92,7.92,0.6533,80.156
thesis_fig4-22,HTFGB-30BS_center,33,markers,73,206.46,223.92,1720.5,1866.0,7.92,7.92,0.6824,85.125
thesis_fig4-22,HTFGB-30BS_center,34,markers,75,206.46,223.98,1720.5,1866.5,7.92,7.92,0.6824,85.01
