slip_in,load_per_stud_kip,mode,px,py
0.0022,1.684,row,2934.0,5595
0.0022,1.852,row,2934.0,5591
0.0023,2.02,row,2934.5,5587
0.0024,2.188,row,2935.0,5583
0.0025,2.356,row,2935.5,5579
0.0025,2.524,row,2935.5,5575
0.0026,2.692,row,2936.0,5571
0.0027,2.86,row,2936.5,5567
0.0027,3.027,row,2936.5,5563
0.0028,3.195,row,2937.0,5559
0.003,3.363,row,2938.0,5555
0.0032,3.531,row,2939.0,5551
0.0034,3.699,row,2940.0,5547
0.0037,3.867,row,2941.0,5543
0.0066,6.216,row,2955.0,5487
0.0068,6.384,row,2956.0,5483
0.007,6.551,row,2957.0,5479
0.0072,6.719,row,2958.0,5475
0.0076,6.887,row,2960.0,5471
0.0078,7.054,row,2961.0,5467
0.0079,7.222,row,2961.5,5463
0.0082,7.39,row,2963.0,5459
0.0085,7.557,row,2964.0,5455
0.0087,7.725,row,2965.0,5451
0.0089,7.893,row,2966.0,5447
0.0092,8.06,row,2967.5,5443
0.0095,8.228,row,2969.0,5439
0.0097,8.396,row,2970.0,5435
0.01,8.563,row,2971.5,5431
0.0103,8.731,row,2973.0,5427
0.0106,8.898,row,2974.5,5423
0.0111,9.066,row,2976.5,5419
0.0113,9.233,row,2977.5,5415
0.0115,9.401,row,2978.5,5411
0.0119,9.568,row,2980.5,5407
0.0134,10.391,row,2988.0,5387
0.0139,10.552,row,2990.0,5383
0.0143,10.713,row,2992.0,5379
0.0146,10.875,row,2993.5,5375
0.015,11.036,row,2995.5,5371
0.0152,11.197,row,2996.5,5367
0.0156,11.359,row,2998.5,5363
0.016,11.52,row,3000.5,5359
0.0163,11.681,row,3002.0,5355
0.0169,11.842,row,3004.5,5351
0.0173,12.004,row,3006.5,5347
0.0178,12.165,row,3009.0,5343
0.0183,12.326,row,3011.5,5339
0.0189,12.488,row,3014.5,5335
0.0193,12.649,row,3016.5,5331
0.02,12.81,row,3019.5,5327
0.0207,12.972,row,3023.0,5323
0.0213,13.133,row,3026.0,5319
0.0219,13.294,row,3029.0,5315
0.0226,13.456,row,3032.5,5311
0.0272,14.262,row,3054.5,5291
0.0273,14.424,row,3055.0,5287
0.0274,14.585,row,3055.5,5283
0.0284,14.747,row,3060.5,5279
0.03,14.928,col,3068,5274.5
0.0301,14.908,row,3068.5,5275
0.0324,15.312,col,3080,5265.0
0.0351,15.716,col,3093,5255.0
0.0376,16.059,col,3105,5246.5
0.04,16.382,col,3117,5238.5
0.0425,16.625,col,3129,5232.5
0.045,16.887,col,3141,5226.0
0.0474,17.13,col,3153,5220.0
0.0526,17.595,col,3178,5208.5
0.055,17.798,col,3190,5203.5
0.0575,17.96,col,3202,5199.5
0.0601,18.162,col,3215,5194.5
0.0626,18.284,col,3227,5191.5
0.065,18.446,col,3239,5187.5
0.0674,18.588,col,3251,5184.0
0.0701,18.689,col,3264,5181.5
0.0725,18.791,col,3276,5179.0
0.075,18.933,col,3288,5175.5
0.0776,19.014,col,3301,5173.5
0.0801,19.136,col,3313,5170.5
0.0825,19.218,col,3325,5168.5
0.085,19.259,col,3337,5167.5
0.0876,19.34,col,3350,5165.5
0.0901,19.381,col,3362,5164.5
0.0925,19.442,col,3374,5163.0
0.095,19.483,col,3386,5162.0
0.0976,19.483,col,3399,5162.0
0.1025,19.606,col,3423,5159.0
0.1051,19.809,col_on_gridline,3436,5154.0
0.1075,19.85,col_on_gridline,3448,5153.0
0.1099,19.851,col_on_gridline,3460,5153.0
0.1126,19.872,col_on_gridline,3473,5152.5
0.115,19.892,col_on_gridline,3485,5152.0
0.1176,19.913,col_on_gridline,3498,5151.5
0.1201,19.934,col_on_gridline,3510,5151.0
0.1376,20.162,col_on_gridline,3597,5145.5
0.1401,20.163,col_on_gridline,3609,5145.5
0.1425,20.184,col_on_gridline,3621,5145.0
0.1451,20.184,col_on_gridline,3634,5145.0
0.1475,20.205,col_on_gridline,3646,5144.5
0.1526,20.248,col_on_gridline,3671,5143.5
0.155,20.393,col,3683,5140.0
0.1577,20.476,col,3696,5138.0
0.1601,20.518,col,3708,5137.0
0.1652,20.539,col,3733,5136.5
0.1676,20.602,col,3745,5135.0
0.17,20.603,col,3757,5135.0
0.1727,20.645,col,3770,5134.0
0.1751,20.645,col,3782,5134.0
0.1775,20.667,col,3794,5133.5
0.1802,20.688,col,3807,5133.0
0.1826,20.689,col,3819,5133.0
0.185,20.71,col,3831,5132.5
0.1877,20.711,col,3844,5132.5
0.1901,20.732,col,3856,5132.0
0.1925,20.775,col,3868,5131.0
0.1952,20.775,col,3881,5131.0
0.1976,20.776,col,3893,5131.0
0.2027,20.777,col,3918,5131.0
0.2051,20.82,col,3930,5130.0
0.2076,20.82,col,3942,5130.0
0.21,20.821,col,3954,5130.0
0.2126,20.863,col,3967,5129.0
0.2151,20.864,col,3979,5129.0
0.2175,20.865,col,3991,5129.0
0.2202,20.887,col,4004,5128.5
0.2226,20.887,col,4016,5128.5
0.225,20.888,col,4028,5128.5
0.2275,20.868,col,4040,5129.0
0.2301,20.869,col,4053,5129.0
0.2325,20.89,col,4065,5128.5
0.235,20.87,col,4077,5129.0
0.2376,20.913,col,4090,5128.0
0.2401,20.913,col,4102,5128.0
0.2425,20.914,col,4114,5128.0
0.2449,20.915,col,4126,5128.0
0.2476,20.937,col,4139,5127.5
0.2525,20.938,col,4163,5127.5
0.2549,20.96,col,4175,5127.0
0.2576,20.982,col,4188,5126.5
0.26,21.003,col,4200,5126.0
0.2625,21.025,col,4212,5125.5
0.2649,21.026,col,4224,5125.5
0.2674,21.069,col,4236,5124.5
0.2701,21.07,col,4249,5124.5
0.2725,21.07,col,4261,5124.5
0.275,21.092,col,4273,5124.0
0.2774,21.114,col,4285,5123.5
0.2801,21.115,col,4298,5123.5
0.2825,21.137,col,4310,5123.0
0.285,21.159,col,4322,5122.5
0.2874,21.16,col,4334,5122.5
0.2899,21.181,col,4346,5122.0
0.2925,21.203,col,4359,5121.5
0.295,21.204,col,4371,5121.5
0.2975,21.205,col,4383,5121.5
0.3024,21.249,col,4407,5120.5
0.3049,21.271,col,4419,5120.0
0.3074,21.272,col,4431,5120.0
