px,py,px_open,py_open,area_px,core_px,x_local,y_local,x_affine,y_affine,x_open_centroid,y_open_centroid
724.0,5642.5,724.0,5642.5,516,4,0.0682,1.3,0.0608,1.254,0.0682,1.3
785.5,5467.7,785.5,5467.6,704,34,0.3207,8.45,0.3146,8.449,0.3207,8.454
797.3,5431.9,797.3,5431.9,706,34,0.3689,9.914,0.3633,9.922,0.3689,9.914
815.3,5388.4,815.1,5388.3,699,29,0.4425,11.703,0.4376,11.712,0.4417,11.707
830.8,5347.7,830.7,5347.6,693,31,0.5057,13.378,0.5015,13.388,0.5053,13.382
851.3,5301.1,851.4,5301.1,634,22,0.5893,15.294,0.5861,15.305,0.5897,15.294
858.2,5261.4,858.2,5261.4,656,24,0.6172,16.928,0.6146,16.94,0.6172,16.928
886.9,5222.6,886.9,5222.6,619,19,0.7341,18.522,0.733,18.536,0.7341,18.522
939.2,5178.4,939.3,5178.3,633,21,0.947,20.336,0.9486,20.353,0.9474,20.34
987.4,5137.6,987.4,5137.6,591,15,1.1455,22.005,1.1473,22.03,1.1455,22.005
1080.0,5077.5,1080.0,5077.5,572,12,1.5289,24.463,1.5289,24.499,1.5289,24.463
1125.4,5050.6,1125.4,5050.6,591,15,1.7169,25.563,1.7161,25.604,1.7169,25.563
1184.0,5027.5,1184.0,5027.5,466,2,1.9598,26.505,1.9576,26.551,1.9598,26.505
1228.2,5007.8,1228.2,5007.8,581,13,2.1413,27.31,2.1397,27.36,2.1413,27.31
1279.0,4995.5,1279.0,4995.5,554,10,2.3494,27.81,2.3491,27.863,2.3494,27.81
1330.9,4979.6,1330.9,4979.6,563,11,2.5618,28.458,2.5629,28.514,2.5618,28.458
1382.0,4960.5,1382.0,4960.5,604,16,2.7707,29.237,2.7735,29.298,2.7707,29.237
1486.2,4944.1,1486.3,4944.1,544,8,3.1977,29.901,3.2029,29.966,3.1981,29.901
1534.8,4935.8,1534.8,4935.9,600,16,3.3971,30.241,3.4031,30.305,3.3971,30.237
1649.6,4923.3,1649.7,4923.3,588,14,3.8685,30.754,3.8761,30.812,3.8689,30.754
1912.3,4888.0,1912.3,4888.0,581,13,4.9497,32.21,4.9586,32.249,4.9497,32.21
2073.9,4870.3,2073.8,4870.2,533,7,5.6176,32.941,5.6244,32.968,5.6171,32.945
