figure,specimen,drawing_index,pdf_x_pt,pdf_y_pt,slip_in,total_load_kip
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,551.82,0.00037,0.33
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,551.82,0.00037,0.33
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,551.072,0.00037,1.249
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,550.324,0.00037,2.167
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,549.576,0.00037,3.086
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,548.827,0.00037,4.005
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,548.079,0.00037,4.923
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,547.331,0.00037,5.842
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,548.079,0.00037,4.923
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,547.331,0.00037,5.842
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,548.079,0.00037,4.923
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,547.331,0.00037,5.842
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,548.079,0.00037,4.923
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,547.331,0.00037,5.842
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,546.583,0.00037,6.761
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,545.835,0.00037,7.679
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,545.086,0.00037,8.598
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,544.338,0.00037,9.517
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,543.59,0.00037,10.435
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,542.842,0.00037,11.354
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,542.094,0.00037,12.272
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,541.346,0.00037,13.191
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,540.597,0.00037,14.11
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,539.849,0.00037,15.028
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,539.101,0.00037,15.947
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,538.353,0.00037,16.866
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,537.605,0.00037,17.784
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,536.856,0.00037,18.703
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,536.108,0.00037,19.622
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,535.36,0.00037,20.54
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,534.612,0.00037,21.459
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,533.864,0.00037,22.378
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,533.116,0.00037,23.296
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,532.367,0.00037,24.215
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,144.68,532.367,0.00141,24.215
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,143.931,532.367,0.00037,24.215
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,144.68,532.367,0.00141,24.215
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,144.68,531.619,0.00141,25.133
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,144.68,530.871,0.00141,26.052
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,144.68,530.123,0.00141,26.971
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,144.68,529.375,0.00141,27.889
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,145.429,529.375,0.00244,27.889
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,145.429,528.626,0.00244,28.808
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,145.429,527.878,0.00244,29.727
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,145.429,527.13,0.00244,30.645
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,145.429,526.382,0.00244,31.564
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,145.429,525.634,0.00244,32.483
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.178,524.886,0.00347,33.401
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.178,524.137,0.00347,34.32
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.178,523.389,0.00347,35.239
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.178,522.641,0.00347,36.157
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.178,521.893,0.00347,37.076
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.178,521.145,0.00347,37.994
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.927,521.145,0.00451,37.994
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.927,520.396,0.00451,38.913
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.927,519.648,0.00451,39.832
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.927,518.9,0.00451,40.75
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.927,518.152,0.00451,41.669
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.927,517.404,0.00451,42.588
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.927,516.656,0.00451,43.506
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,146.927,515.907,0.00451,44.425
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,515.907,0.00554,44.425
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,515.159,0.00554,45.344
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,514.411,0.00554,46.262
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,513.663,0.00554,47.181
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,512.915,0.00554,48.1
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,512.166,0.00554,49.018
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,511.418,0.00554,49.937
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,510.67,0.00554,50.856
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,509.922,0.00554,51.774
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,509.922,0.00658,51.774
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,147.676,509.922,0.00554,51.774
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,509.922,0.00658,51.774
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,509.174,0.00658,52.693
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,508.426,0.00658,53.611
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,507.677,0.00658,54.53
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,506.929,0.00658,55.449
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,148.425,506.181,0.00658,56.367
