beam_test,report,figure,pdf_page,px_x,px_y,ring_score,void_score,load_kip,deflection_in,branch
B3-S1,279.2,9,79,1075.7,3851.2,0.849,-0.0,4.9,0.0476,first_loading
B3-S1,279.2,9,79,1134.8,3625.9,0.928,0.021,9.87,0.0765,first_loading
B3-S1,279.2,9,79,1297.2,3166.9,0.847,-0.0,19.99,0.1563,first_loading
B3-S1,279.2,9,79,3057.7,3164.8,0.836,-0.0,20.07,1.0299,post_cycle_same_load
B3-S1,279.2,9,79,2998.7,3163.0,0.884,0.0,20.1,1.0006,post_cycle_same_load
B3-S1,279.2,9,79,1567.9,2257.6,0.885,-0.0,40.04,0.2891,first_loading
B3-S1,279.2,9,79,1687.1,2031.2,0.851,-0.0,45.03,0.3478,post_cycle_loading
B3-S1,279.2,9,79,1790.2,1801.9,0.937,-0.0,50.09,0.3986,post_cycle_loading
B3-S1,279.2,9,79,2435.7,1491.1,0.871,-0.0,56.95,0.7183,post_cycle_loading
B3-S1,279.2,9,79,2915.2,1304.2,0.954,0.0,61.08,0.9559,post_cycle_loading
B4-S1,279.2,12,82,2035.4,3739.0,1.0,0.039,4.85,0.5761,post_cycle_same_load
B4-S1,279.2,12,82,983.6,3735.1,1.0,0.045,4.93,0.0539,first_loading
B4-S1,279.2,12,82,2139.1,3505.6,1.0,0.049,9.99,0.6273,post_cycle_same_load
B4-S1,279.2,12,82,1045.3,3503.9,1.0,0.042,10.02,0.0842,first_loading
B4-S1,279.2,12,82,2219.1,3282.9,1.0,0.028,14.89,0.6667,post_cycle_same_load
B4-S1,279.2,12,82,3160.0,3282.9,0.997,0.08,14.89,1.1338,post_cycle_same_load
B4-S1,279.2,12,82,1105.2,3279.8,1.0,0.03,14.96,0.1136,first_loading
B4-S1,279.2,12,82,1203.7,3048.2,1.0,0.028,20.06,0.1621,first_loading
B4-S1,279.2,12,82,2377.7,2830.9,0.981,0.066,24.84,0.7447,post_cycle_same_load
B4-S1,279.2,12,82,1263.7,2825.0,0.99,0.035,24.97,0.1916,first_loading
B4-S1,279.2,12,82,1349.8,2601.8,1.0,0.02,29.89,0.234,first_loading
B4-S1,279.2,12,82,2220.4,2600.1,1.0,0.006,29.93,0.6662,post_cycle_same_load
B4-S1,279.2,12,82,2576.0,2371.0,0.991,0.087,34.97,0.8425,post_cycle_loading
B4-S1,279.2,12,82,1406.1,2368.0,1.0,0.041,35.03,0.2616,post_cycle_loading
B4-S1,279.2,12,82,2657.9,2147.2,0.985,0.01,39.9,0.8828,post_cycle_loading
B4-S1,279.2,12,82,1512.6,2144.1,1.0,0.031,39.96,0.3141,post_cycle_loading
B4-S1,279.2,12,82,1594.0,1923.8,1.0,0.032,44.82,0.3542,post_cycle_loading
B4-S1,279.2,12,82,1653.3,1809.9,0.997,0.066,47.32,0.3835,post_cycle_loading
B4-S1,279.2,12,82,1737.7,1764.8,1.0,-0.0,48.32,0.4253,post_cycle_loading
B4-S1,279.2,12,82,3447.9,1139.7,0.999,0.056,62.08,1.2735,post_cycle_loading
B5-S1,279.2,15,85,1022.1,3613.9,0.961,0.0,9.98,0.0722,first_loading
B5-S1,279.2,15,85,1187.0,3157.9,0.973,0.0,20.0,0.1532,first_loading
B5-S1,279.2,15,85,1342.2,2707.1,0.991,-0.0,29.9,0.2294,first_loading
B5-S1,279.2,15,85,1521.8,2244.8,0.954,-0.0,40.06,0.3177,first_loading
B5-S1,279.2,15,85,1587.8,2068.4,0.995,0.0,43.94,0.3502,post_cycle_loading
B5-S1,279.2,15,85,1661.2,1931.1,0.999,-0.0,46.95,0.3864,post_cycle_loading
B5-S1,279.2,15,85,1831.0,1792.1,0.995,0.038,50.01,0.4705,post_cycle_loading
B5-S1,279.2,15,85,2032.3,1662.8,1.0,-0.0,52.85,0.5702,post_cycle_loading
B5-S1,279.2,15,85,2232.8,1572.3,0.992,0.0,54.84,0.6697,post_cycle_loading
B5-S1,279.2,15,85,2434.3,1509.8,0.991,0.0,56.21,0.7697,post_cycle_loading
B5-S1,279.2,15,85,2613.7,1449.8,0.998,0.0,57.53,0.8587,post_cycle_loading
B5-S1,279.2,15,85,2818.0,1419.0,0.992,-0.0,58.21,0.9601,post_cycle_loading
B5-S1,279.2,15,85,3236.1,1341.2,0.998,0.023,59.92,1.1678,post_cycle_loading
B6-S1,279.2,18,88,1038.1,3642.3,0.892,0.0,9.96,0.072,first_loading
B6-S1,279.2,18,88,1334.8,3190.3,0.99,0.032,19.95,0.2195,post_cycle_same_load
B6-S1,279.2,18,88,1216.0,3188.8,0.915,0.0,19.98,0.1604,first_loading
B6-S1,279.2,18,88,1656.0,3188.6,0.974,0.0,19.98,0.3792,post_cycle_same_load
B6-S1,279.2,18,88,1721.0,3188.4,0.999,0.016,19.99,0.4115,post_cycle_same_load
B6-S1,279.2,18,88,1363.3,2739.0,0.975,0.02,29.92,0.2335,first_loading
B6-S1,279.2,18,88,1636.1,2284.3,0.909,-0.0,39.97,0.369,first_loading
B6-S1,279.2,18,88,1701.0,2280.2,0.949,0.016,40.06,0.4013,post_cycle_same_load
B6-S1,279.2,18,88,1798.8,2067.0,0.96,0.034,44.77,0.4499,post_cycle_loading
B6-S1,279.2,18,88,1919.3,1978.1,0.969,0.0,46.74,0.5098,post_cycle_loading
B6-S1,279.2,18,88,2021.1,1893.3,0.928,0.0,48.61,0.5604,post_cycle_loading
B6-S1,279.2,18,88,2243.9,1830.0,0.924,0.034,50.01,0.6712,post_cycle_loading
B6-S1,279.2,18,88,2181.8,1790.0,0.878,0.03,50.89,0.6403,post_cycle_loading
B6-S1,279.2,18,88,2465.3,1729.1,0.961,0.0,52.24,0.7813,post_cycle_loading
B6-S1,279.2,18,88,2588.1,1712.6,0.987,0.008,52.6,0.8423,post_cycle_loading
B6-S1,279.2,18,88,2991.3,1620.0,1.0,0.0,54.65,1.0429,post_cycle_loading
B6-S1,279.2,18,88,2750.8,1617.7,0.999,0.025,54.7,0.9232,post_cycle_loading
B6-S1,279.2,18,88,3400.9,1598.7,0.972,-0.0,55.12,1.2466,post_cycle_loading
B6-S1,279.2,18,88,3194.1,1595.8,0.985,0.001,55.18,1.1437,post_cycle_loading
B7-S1,279.6,10,73,2041.8,4235.1,0.82,0.0,-0.15,0.6794,residual_after_unloading
B7-S1,279.6,10,73,719.4,4233.9,0.846,0.0,-0.1,0.0269,residual_after_unloading
B7-S1,279.6,10,73,759.7,4233.2,0.752,0.0,-0.08,0.0468,residual_after_unloading
B7-S1,279.6,10,73,808.9,3773.2,0.902,0.0,10.01,0.07,first_loading
B7-S1,279.6,10,73,1111.2,3318.8,0.88,0.0,19.97,0.2181,post_cycle_same_load
B7-S1,279.6,10,73,2513.1,3315.2,0.751,0.0,20.02,0.9097,post_cycle_same_load
B7-S1,279.6,10,73,992.9,3316.2,0.905,0.0,20.03,0.1597,first_loading
