specimen,report,figure,pdf_page,px_x,px_y,ring_score,load_per_connector_kip,avg_slip_in,envelope
P1,279.2,28,100,1544.9,3035.3,0.855,4.1,0.00243,True
P1,279.2,28,100,1641.1,2624.4,0.871,6.09,0.0087,True
P1,279.2,28,100,1789.0,3056.9,0.848,3.99,0.01856,False
P1,279.2,28,100,1822.0,2227.0,0.921,8.02,0.02058,True
P1,279.2,28,100,1832.3,3045.8,0.904,4.05,0.02142,False
P1,279.2,28,100,1915.4,2225.0,0.913,8.03,0.02675,False
P1,279.2,28,100,2050.1,1997.2,0.829,9.14,0.0356,True
P1,279.2,28,100,2275.9,1789.3,0.879,10.14,0.05048,True
P1,279.2,28,100,2452.0,3038.3,0.879,4.08,0.06235,False
P1,279.2,28,100,2531.0,3044.0,0.812,4.05,0.06757,False
P1,279.2,28,100,2598.8,1681.8,0.87,10.66,0.07179,True
P1,279.2,28,100,2639.3,1784.0,0.827,10.17,0.07449,False
P1,279.2,28,100,2970.8,1632.7,0.874,10.9,0.09636,True
P1,279.2,28,100,3187.8,3017.9,0.862,4.18,0.11096,False
P1,279.2,28,100,3275.1,3045.3,0.894,4.04,0.11673,False
P1,279.2,28,100,3334.8,1604.9,0.864,11.03,0.1204,False
P1,279.2,28,100,3806.4,1651.0,0.88,10.81,0.15156,False
P1,279.2,28,100,4094.1,1631.2,0.886,10.9,0.17056,False
P1,279.2,28,100,4472.2,1711.2,0.863,10.51,0.19556,False
P2,279.2,29,101,1561.9,3177.3,0.755,15.07,0.00287,True
P2,279.2,29,101,1605.0,2865.3,0.78,20.22,0.00576,True
P2,279.2,29,101,1635.0,2570.3,0.814,25.09,0.00778,True
P2,279.2,29,101,1684.2,3178.1,0.784,15.05,0.01095,False
P2,279.2,29,101,1721.1,2268.3,0.822,30.07,0.01351,True
P2,279.2,29,101,1788.2,2118.1,0.841,32.54,0.01796,True
P2,279.2,29,101,1851.0,1965.2,0.759,35.07,0.02213,True
P2,279.2,29,101,2043.8,1666.0,0.783,40.0,0.0349,True
P2,279.2,29,101,2137.6,3179.1,0.824,15.03,0.0409,False
P2,279.2,29,101,2225.7,1513.9,0.77,42.51,0.04693,True
P2,279.2,29,101,2363.8,1510.1,0.833,42.57,0.05605,False
P2,279.2,29,101,2760.2,1359.7,0.814,45.04,0.08225,True
P2,279.2,29,101,3242.7,1214.2,0.803,47.43,0.11414,True
P3,279.2,30,102,1405.9,3719.8,0.81,2.55,0.00113,True
P3,279.2,30,102,1409.3,3573.1,0.764,4.15,0.00136,True
P3,279.2,30,102,1478.8,3262.9,0.815,7.55,0.00597,True
P3,279.2,30,102,1615.7,2806.1,0.761,12.54,0.01502,True
P3,279.2,30,102,1660.6,3494.8,0.884,5.01,0.01792,False
P3,279.2,30,102,1872.3,2461.8,0.807,16.31,0.03194,True
P3,279.2,30,102,1962.1,2352.4,0.782,17.5,0.03787,True
P3,279.2,30,102,2109.9,2237.8,0.812,18.75,0.04761,True
P3,279.2,30,102,2291.2,2118.8,0.767,20.05,0.05955,True
P3,279.2,30,102,2601.9,2004.8,0.788,21.29,0.08002,True
P3,279.2,30,102,2814.1,3496.8,0.927,4.96,0.09385,False
P3,279.2,30,102,2904.0,3501.7,0.897,4.91,0.09977,False
P3,279.2,30,102,3109.0,1999.0,0.809,21.35,0.1134,False
P3,279.2,30,102,3294.1,2060.5,0.831,20.67,0.12558,False
P3,279.2,30,102,3627.2,2036.2,0.79,20.93,0.14751,False
