col_px,centroid_row_px,deflection_mm,load_kN
1705,3046.629,35.954,535.555
1706,3046.629,36.0785,535.555
1707,3046.629,36.203,535.555
1708,3046.629,36.3275,535.555
1709,3039.38,36.452,539.789
1710,3039.38,36.5764,539.789
1711,3039.38,36.7009,539.789
1712,3039.38,36.8254,539.789
1713,3031.397,36.9499,544.452
1714,3031.397,37.0744,544.452
1715,3031.397,37.1989,544.452
1716,3031.397,37.3233,544.452
1717,3023.856,37.4478,548.857
1718,3023.856,37.5723,548.857
1719,3023.856,37.6968,548.857
1720,3023.856,37.8213,548.857
1721,3016.306,37.9457,553.267
1722,3016.306,38.0702,553.267
1723,3016.306,38.1947,553.267
1724,3016.306,38.3192,553.267
1725,3009.542,38.4437,557.218
1726,3009.542,38.5681,557.218
1727,3009.542,38.6926,557.218
1728,3009.542,38.8171,557.218
1729,3001.891,38.9416,561.687
1730,3001.891,39.0661,561.687
1731,3001.891,39.1906,561.687
1732,3001.891,39.315,561.687
1733,2995.113,39.4395,565.646
1734,2995.113,39.564,565.646
1735,2995.113,39.6885,565.646
1736,2995.113,39.813,565.646
1737,2988.959,39.9374,569.24
1738,2988.959,40.0619,569.24
1739,2988.959,40.1864,569.24
1740,2988.959,40.3109,569.24
1741,2981.673,40.4354,573.496
1742,2981.673,40.5598,573.496
1743,2981.673,40.6843,573.496
1744,2981.673,40.8088,573.496
1745,2974.874,40.9333,577.468
1746,2974.874,41.0578,577.468
1747,2974.874,41.1823,577.468
1748,2974.874,41.3067,577.468
1749,2967.644,41.4312,581.691
1750,2967.644,41.5557,581.691
1751,2967.644,41.6802,581.691
1752,2967.644,41.8047,581.691
1753,2961.156,41.9291,585.481
1754,2961.156,42.0536,585.481
1755,2961.156,42.1781,585.481
1756,2961.156,42.3026,585.481
1757,2954.991,42.4271,589.082
1758,2954.991,42.5515,589.082
1759,2954.991,42.676,589.082
1760,2954.991,42.8005,589.082
1761,2948.768,42.925,592.716
1762,2948.768,43.0495,592.716
1763,2948.768,43.174,592.716
1764,2948.768,43.2984,592.716
1765,2943.037,43.4229,596.064
1766,2943.037,43.5474,596.064
1767,2943.037,43.6719,596.064
1768,2943.037,43.7964,596.064
1769,2938.175,43.9208,598.904
1770,2938.175,44.0453,598.904
1771,2938.175,44.1698,598.904
1772,2938.175,44.2943,598.904
1773,2931.635,44.4188,602.724
1774,2931.635,44.5432,602.724
1775,2931.635,44.6677,602.724
1776,2931.635,44.7922,602.724
1777,2926.429,44.9167,605.765
1778,2926.429,45.0412,605.765
1779,2926.429,45.1656,605.765
1780,2926.429,45.2901,605.765
1781,2922.132,45.4146,608.275
1782,2922.132,45.5391,608.275
1783,2922.132,45.6636,608.275
1784,2922.132,45.7881,608.275
1785,2915.474,45.9125,612.164
1786,2915.474,46.037,612.164
1787,2915.474,46.1615,612.164
1788,2915.474,46.286,612.164
1789,2911.071,46.4105,614.736
1790,2911.071,46.5349,614.736
1791,2911.071,46.6594,614.736
1792,2911.071,46.7839,614.736
1793,2906.145,46.9084,617.613
1794,2906.145,47.0329,617.613
1795,2906.145,47.1573,617.613
1796,2906.145,47.2818,617.613
1797,2900.414,47.4063,620.961
1798,2900.414,47.5308,620.961
1799,2900.414,47.6553,620.961
1800,2900.414,47.7798,620.961
1801,2895.553,47.9042,623.8
1802,2895.553,48.0287,623.8
1803,2895.553,48.1532,623.8
1804,2895.553,48.2777,623.8
1805,2890.386,48.4022,626.818
1806,2890.386,48.5266,626.818
1807,2890.386,48.6511,626.818
1808,2890.386,48.7756,626.818
1809,2885.452,48.9001,629.7
1810,2885.452,49.0246,629.7
1811,2885.452,49.149,629.7
1812,2885.452,49.2735,629.7
1813,2881.049,49.398,632.272
1814,2881.049,49.5225,632.272
1815,2881.049,49.647,632.272
1816,2881.049,49.7715,632.272
1817,2875.543,49.8959,635.488
1818,2875.543,50.0204,635.488
1819,2875.543,50.1449,635.488
1820,2875.543,50.2694,635.488
1821,2871.257,50.3939,637.992
