jack_load_kN,deflection_as_plotted_mm,deflection_window_median_mm,deflection_window_std_mm,deflection_columnwise_mm,delta0_mm,deflection_jack_only_mm,moment_jack_kNm,moment_total_kNm,elastic
50,4.69,4.69,0.094,,2.07,2.62,68.8,125.8,True
100,7.17,7.17,0.072,,2.07,5.1,137.5,194.5,True
150,9.67,9.67,0.084,,2.07,7.6,206.2,263.2,True
200,12.08,12.08,0.076,,2.07,10.01,275.0,332.0,True
250,14.59,14.65,0.078,,2.07,12.52,343.8,400.8,True
300,17.33,17.33,0.104,,2.07,15.26,412.5,469.5,True
350,20.4,20.4,0.097,,2.07,18.33,481.2,538.2,True
400,23.9,23.9,0.12,,2.07,21.83,550.0,607.0,True
445,27.02,27.02,0.114,,2.07,24.95,611.9,668.9,True
500,32.23,32.35,0.156,,2.07,30.16,687.5,744.5,False
550,37.82,37.82,0.193,37.85,2.07,35.75,756.2,813.2,False
600,44.11,44.11,0.251,44.4,2.07,42.04,825.0,882.0,False
650,53.25,53.25,0.429,52.85,2.07,51.18,893.8,950.8,False
700,65.82,65.82,0.583,66.03,2.07,63.75,962.5,1019.5,False
750,83.18,83.56,0.604,,2.07,81.11,1031.2,1088.2,False
800,106.98,106.98,0.822,,2.07,104.91,1100.0,1157.0,False
