row_px,centroid_col_px,run_start_col_px,run_end_col_px,blue_weight_sum,load_kN,deflection_mm
2517,2508.028,2501,2516,11.125,844.917,135.9159
2518,2508.028,2501,2516,11.125,844.333,135.9159
2519,2508.028,2501,2516,11.125,843.749,135.9159
2520,2507.445,2497,2516,10.312,843.164,135.8434
2521,2507.445,2497,2516,10.312,842.58,135.8434
2522,2507.445,2497,2516,10.312,841.996,135.8434
2523,2507.445,2497,2516,10.312,841.412,135.8434
2524,2457.9,2449,2464,5.0,840.828,129.6759
2525,2457.9,2449,2464,5.0,840.244,129.6759
2526,2457.9,2449,2464,5.0,839.66,129.6759
2527,2457.9,2449,2464,5.0,839.076,129.6759
2528,2452.391,2429,2472,27.5,838.492,128.9901
2529,2452.391,2429,2472,27.5,837.907,128.9901
2530,2452.391,2429,2472,27.5,837.323,128.9901
2531,2452.391,2429,2472,27.5,836.739,128.9901
2532,2465.294,2421,2508,81.25,836.155,130.5963
2533,2465.294,2421,2508,81.25,835.571,130.5963
2534,2465.294,2421,2508,81.25,834.987,130.5963
2535,2465.294,2421,2508,81.25,834.403,130.5963
2536,2461.356,2409,2508,93.125,833.819,130.1062
2537,2461.356,2409,2508,93.125,833.235,130.1062
2538,2461.356,2409,2508,93.125,832.65,130.1062
2539,2461.356,2409,2508,93.125,832.066,130.1062
2540,2456.017,2397,2508,89.0,831.482,129.4415
2541,2456.017,2397,2508,89.0,830.898,129.4415
2542,2456.017,2397,2508,89.0,830.314,129.4415
2543,2456.017,2397,2508,89.0,829.73,129.4415
2544,2409.271,2385,2432,38.25,829.146,123.6225
2545,2409.271,2385,2432,38.25,828.562,123.6225
2546,2409.271,2385,2432,38.25,827.978,123.6225
2547,2409.271,2385,2432,38.25,827.394,123.6225
2548,2400.019,2377,2424,38.5,826.809,122.4709
2549,2400.019,2377,2424,38.5,826.225,122.4709
2550,2400.019,2377,2424,38.5,825.641,122.4709
2551,2400.019,2377,2424,38.5,825.057,122.4709
2552,2392.441,2373,2412,34.0,824.473,121.5275
2553,2392.441,2373,2412,34.0,823.889,121.5275
2554,2392.441,2373,2412,34.0,823.305,121.5275
2555,2392.441,2373,2412,34.0,822.721,121.5275
2556,2379.289,2361,2400,28.5,822.137,119.8904
2557,2379.289,2361,2400,28.5,821.552,119.8904
2558,2379.289,2361,2400,28.5,820.968,119.8904
2559,2379.289,2361,2400,28.5,820.384,119.8904
2560,2368.642,2345,2388,31.75,819.8,118.5649
2561,2368.642,2345,2388,31.75,819.216,118.5649
2562,2368.642,2345,2388,31.75,818.632,118.5649
2563,2368.642,2345,2388,31.75,818.048,118.5649
