series,moment_kNm,deflection_mm,through_origin_slope_100_600_kNm_per_mm,digitised_moment_range_kNm
test,100,3.64,27.92,89-996
test,200,6.44,27.92,89-996
test,300,10.15,27.92,89-996
test,340,11.56,27.92,89-996
test,400,14.05,27.92,89-996
test,500,18.65,27.92,89-996
test,600,23.48,27.92,89-996
test,700,29.36,27.92,89-996
test,800,36.77,27.92,89-996
test,860,42.26,27.92,89-996
test,1000,59.28,27.92,89-996
ETABS,100,2.44,30.95,81-996
ETABS,200,6.0,30.95,81-996
ETABS,300,9.34,30.95,81-996
ETABS,340,10.93,30.95,81-996
ETABS,400,13.13,30.95,81-996
ETABS,500,16.43,30.95,81-996
ETABS,600,19.67,30.95,81-996
ETABS,700,23.14,30.95,81-996
ETABS,800,26.83,30.95,81-996
ETABS,860,28.79,30.95,81-996
ETABS,1000,33.17,30.95,81-996
ABS_ABC,57,2.3,25.75,-0-992
ABS_ABC,100,4.15,25.75,-0-992
ABS_ABC,200,7.71,25.75,-0-992
ABS_ABC,300,11.65,25.75,-0-992
ABS_ABC,340,13.25,25.75,-0-992
ABS_ABC,400,15.47,25.75,-0-992
ABS_ABC,500,19.48,25.75,-0-992
ABS_ABC,600,22.9,25.75,-0-992
ABS_ABC,700,26.9,25.75,-0-992
ABS_ABC,800,30.8,25.75,-0-992
ABS_ABC,860,33.0,25.75,-0-992
