series,row_px,centroid_col_px,run_start_col_px,run_end_col_px,weight_sum,moment_kNm,deflection_mm
test,1743,1782.0,1781,1783,2.145,995.561,59.2837
test,1744,1782.0,1781,1783,2.145,994.561,59.2837
test,1745,1782.0,1781,1783,2.145,993.561,59.2837
test,1746,1782.0,1781,1783,2.145,992.561,59.2837
test,1747,1778.5,1777,1780,3.478,991.561,58.6515
test,1748,1778.5,1777,1780,3.478,990.561,58.6515
test,1749,1778.5,1777,1780,3.478,989.561,58.6515
test,1750,1778.5,1777,1780,3.478,988.56,58.6515
test,1751,1776.747,1773,1780,7.121,987.56,58.3349
test,1752,1776.747,1773,1780,7.121,986.56,58.3349
test,1753,1776.747,1773,1780,7.121,985.56,58.3349
test,1754,1776.747,1773,1780,7.121,984.56,58.3349
test,1755,1774.92,1769,1780,10.86,983.56,58.0049
test,1756,1774.92,1769,1780,10.86,982.56,58.0049
test,1757,1774.92,1769,1780,10.86,981.56,58.0049
test,1758,1774.92,1769,1780,10.86,980.56,58.0049
test,1759,1774.383,1765,1783,15.669,979.56,57.9078
test,1760,1774.383,1765,1783,15.669,978.56,57.9078
test,1761,1774.383,1765,1783,15.669,977.56,57.9078
test,1762,1774.383,1765,1783,15.669,976.56,57.9078
test,1763,1778.5,1777,1780,2.02,975.56,58.6515
test,1764,1778.5,1777,1780,2.02,974.56,58.6515
test,1765,1778.5,1777,1780,2.02,973.56,58.6515
test,1766,1778.5,1777,1780,2.02,972.56,58.6515
test,1779,1746.5,1745,1748,1.266,959.559,52.8713
test,1780,1746.5,1745,1748,1.266,958.559,52.8713
test,1781,1746.5,1745,1748,1.266,957.559,52.8713
test,1782,1746.5,1745,1748,1.266,956.559,52.8713
test,1783,1745.849,1741,1748,4.628,955.558,52.7536
test,1784,1745.849,1741,1748,4.628,954.558,52.7536
test,1785,1745.849,1741,1748,4.628,953.558,52.7536
test,1786,1745.849,1741,1748,4.628,952.558,52.7536
test,1787,1743.948,1737,1748,8.618,951.558,52.4104
test,1788,1743.948,1737,1748,8.618,950.558,52.4104
test,1789,1743.948,1737,1748,8.618,949.558,52.4104
test,1790,1743.948,1737,1748,8.618,948.558,52.4104
test,1791,1744.989,1737,1756,15.835,947.558,52.5984
test,1792,1744.989,1737,1756,15.835,946.558,52.5984
test,1793,1744.989,1737,1756,15.835,945.558,52.5984
test,1794,1744.989,1737,1756,15.835,944.558,52.5984
test,1795,1747.171,1745,1752,4.492,943.558,52.9925
test,1796,1747.171,1745,1752,4.492,942.558,52.9925
test,1797,1747.171,1745,1752,4.492,941.558,52.9925
test,1798,1747.171,1745,1752,4.492,940.558,52.9925
test,1823,1714.5,1713,1716,3.247,915.556,47.091
test,1824,1714.5,1713,1716,3.247,914.556,47.091
test,1825,1714.5,1713,1716,3.247,913.556,47.091
test,1826,1714.5,1713,1716,3.247,912.556,47.091
test,1827,1717.696,1709,1728,14.86,911.556,47.6684
test,1828,1717.696,1709,1728,14.86,910.556,47.6684
test,1829,1717.696,1709,1728,14.86,909.556,47.6684
test,1830,1717.696,1709,1728,14.86,908.556,47.6684
test,1831,1717.581,1713,1724,9.759,907.556,47.6476
test,1832,1717.581,1713,1724,9.759,906.556,47.6476
test,1833,1717.581,1713,1724,9.759,905.555,47.6476
test,1834,1717.581,1713,1724,9.759,904.555,47.6476
test,1835,1716.21,1713,1720,6.985,903.555,47.3998
test,1836,1716.21,1713,1720,6.985,902.555,47.3998
test,1837,1716.21,1713,1720,6.985,901.555,47.3998
test,1838,1716.21,1713,1720,6.985,900.555,47.3998
test,1839,1714.5,1713,1716,3.739,899.555,47.091
test,1840,1714.5,1713,1716,3.739,898.555,47.091
test,1841,1714.5,1713,1716,3.739,897.555,47.091
test,1842,1714.5,1713,1716,3.739,896.555,47.091
test,1843,1714.5,1713,1716,2.106,895.555,47.091
test,1844,1714.5,1713,1716,2.106,894.555,47.091
test,1845,1714.5,1713,1716,2.106,893.555,47.091
test,1846,1714.5,1713,1716,2.106,892.555,47.091
test,1847,1708.168,1705,1712,6.86,891.555,45.9472
