figure,pdf_page,printed_page,beam,marker,px_x,px_y,load_kip,deflection_in,load_kip_globalfit,deflection_in_globalfit
fig43,106,102,B24W,open,706.2,3024.8,20.02,0.2218,19.93,0.2213
fig43,106,102,B24W,open,859.3,2727.0,40.01,0.4514,39.93,0.4521
fig43,106,102,B24W,open,1010.0,2426.0,60.2,0.6809,60.14,0.6794
fig43,106,102,B24W,open,1093.5,2278.3,70.18,0.8089,70.05,0.8053
fig43,106,102,B24W,open,1209.5,2122.3,80.37,0.9781,80.53,0.9802
fig43,106,102,B24S,open,2069.9,2880.2,29.39,0.343,29.23,0.3439
fig43,106,102,B24S,open,2291.5,2415.5,60.29,0.6785,60.43,0.6773
fig43,106,102,B24S,open,2367.8,2270.5,70.2,0.7895,70.17,0.7922
fig43,106,102,B24S,open,2458.3,2113.5,80.42,0.9276,80.71,0.9283
fig43,106,102,B21S,open,764.2,4562.5,19.81,0.2975,19.95,0.296
fig43,106,102,B21S,open,959.5,4265.5,40.0,0.5912,39.85,0.5893
fig43,106,102,B21S,open,1051.5,4115.5,49.86,0.7288,49.91,0.7274
fig43,106,102,B21S,open,1104.2,4041.9,54.82,0.8074,54.84,0.8065
fig43,106,102,B21S,open,1153.5,3966.3,59.92,0.8798,59.91,0.8805
fig43,106,102,B21S,open,1217.5,3885.5,65.45,0.9736,65.32,0.9766
fig43,106,102,B21W,open,1963.5,4707.5,9.97,0.1779,9.89,0.1743
fig43,106,102,B21W,open,2080.7,4553.5,20.02,0.3516,20.2,0.3509
fig43,106,102,B21W,open,2187.5,4403.5,30.23,0.512,30.25,0.5119
fig43,106,102,B21W,open,2295.0,4261.9,39.79,0.6746,39.73,0.6739
fig43,106,102,B21W,open,2382.8,4153.9,46.94,0.8073,46.95,0.8063
fig43,106,102,B21W,open,2479.5,4109.5,49.88,0.9509,49.93,0.9521
fig53,127,123,B21W,filled,2190.8,1839.7,10.03,0.1448,10.06,0.1449
fig53,127,123,B21W,filled,2353.0,1618.0,19.93,0.2892,19.91,0.2905
fig53,127,123,B21W,filled,2442.0,1503.5,25.04,0.3687,25.01,0.3704
fig53,127,123,B21W,filled,2535.6,1394.4,30.09,0.453,29.86,0.4544
fig53,127,123,B21W,filled,2625.0,1281.5,34.96,0.534,34.88,0.5347
fig53,127,123,B21W,filled,2741.0,1165.5,39.99,0.6389,40.04,0.6388
fig53,127,123,B21W,open,2211.5,1839.4,10.04,0.1631,10.07,0.1635
fig53,127,123,B21W,open,2394.6,1618.5,19.91,0.3264,19.89,0.3279
fig53,127,123,B21W,open,2586.1,1396.2,30.01,0.4987,29.78,0.4997
fig53,127,123,B21W,open,2776.8,1165.2,40.0,0.6712,40.05,0.6709
